country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,year_of_event,independence_from,event_commemorated_and_notes,year,date_mdy,latitude,longitude
Afghanistan,1919-08-19,Tuesday,19.0,Aug,Afghan Independence Day (Afghan Victory Day),August 19,1919.0,United Kingdom,"Anglo-Afghan Treaty of 1919 or Treaty of Rawalpindi, an armistice between the United Kingdom and Afghanistan during the Third Anglo-Afghan War[3]",1919.0,"August 19, 1919",33.9391,67.71
Albania,1912-11-28,Thursday,28.0,Nov,Flag Day (Dita e Flamurit),November 28,1912.0,Ottoman Empire,"Albanian Declaration of Independence. The following day, November 29, is celebrated as the Liberation Day and commemorates the end of the German occupation in 1944.[4]",1912.0,"November 28, 1912",41.1533,20.1683
Algeria,1962-07-05,Thursday,5.0,Jul,Independence Day,July 5,1962.0,France,"Algeria gained independence following the Algerian War and the Algerian independence referendum. France officially recognized independent Algeria on July 3, but the Independence Day is celebrated on July 5, the day of the fall of Algiers in 1830 and the beginning of French Algeria.[5][6]",1962.0,"July 5, 1962",28.0339,1.6596
Angola,1975-11-11,Tuesday,11.0,Nov,Independence Day,November 11,1975.0,Portugal,"The Alvor Agreement, signed on 15 January 1975, granted Angola independence from Portugal on 11 November, ending the Angolan War of Independence.[7]",1975.0,"November 11, 1975",-11.2027,17.8739
Antigua and Barbuda,1981-11-01,Sunday,1.0,Nov,Independence Day,November 1,1981.0,United Kingdom,The effective date of the Antigua Termination of Association Order passed by the Parliament of the United Kingdom in July[8][9],1981.0,"November 1, 1981",17.0608,-61.7964
Armenia,1991-09-21,Saturday,21.0,Sep,Independence Day,September 21,1991.0,Soviet Union,1991 Armenian independence referendum,1991.0,"September 21, 1991",40.0691,45.0382
Austria,1955-10-26,Wednesday,26.0,Oct,National Day,October 26,1955.0,"Allied occupying powers (France, United Kingdom, United States and Soviet Union)",Declaration of Neutrality,1955.0,"October 26, 1955",47.5162,14.5501
Azerbaijan,1918-05-28,Tuesday,28.0,May,Republic Day,May 28,1918.0,Russian Soviet Federative Socialist Republic,Declaration of Independence (Azerbaijan),1918.0,"May 28, 1918",40.1431,47.5769
"Bahamas, The",1973-07-10,Tuesday,10.0,Jul,Independence Day,July 10,1973.0,United Kingdom,Effective date of The Bahamas Independence Order 1973[13],1973.0,"July 10, 1973",25.0343,-77.3963
Bahrain,1971-12-16,Thursday,16.0,Dec,Independence Day,December 16,1971.0,United Kingdom,Ascension of Isa bin Salman Al Khalifa to the throne[14],1971.0,"December 16, 1971",26.0667,50.5577
Bangladesh,1971-03-26,Friday,26.0,Mar,Independence Day,March 26,1971.0,Pakistan,Proclamation of Bangladeshi Independence,1971.0,"March 26, 1971",23.685,90.3563
Barbados,1966-11-30,Wednesday,30.0,Nov,Independence Day,November 30,1966.0,United Kingdom,Effective date of the Barbados Independence Act 1966,1966.0,"November 30, 1966",13.1939,-59.5432
Belarus,1944-07-03,Monday,3.0,Jul,Independence Day,July 3,1944.0,Nazi Germany,The liberation of Minsk after several years of German occupation in 1944. Two other independence days – March 25 (proclamation of the Belarusian People's Republic in 1918) and July 27 (independence from the Soviet Union in 1990) – are commemorated unofficially.[15],1944.0,"July 3, 1944",53.9006,27.559
Belgium,1831-07-21,Thursday,21.0,Jul,National Day,July 21,1831.0,United Netherlands,Ascension of Leopold of Saxe-Coburg-Saalfeld to the throne[16],1831.0,"July 21, 1831",50.8503,4.3517
Belize,1981-09-21,Monday,21.0,Sep,Independence Day,September 21,1981.0,United Kingdom,Effective day of the Belize Act 1981[17],1981.0,"September 21, 1981",17.1899,-88.4976
Benin,1960-08-01,Monday,1.0,Aug,Independence Day,August 1,1960.0,France,Effective date of the agreement with France signed on July 11 creating the independent Republic of Dahomey[18],1960.0,"August 1, 1960",9.3077,2.3158
Bolivia,1825-08-06,Saturday,6.0,Aug,Independence Day,August 6,1825.0,Spain,Bolivian Declaration of Independence,1825.0,"August 6, 1825",-16.2902,-63.5887
Bosnia and Herzegovina,1992-03-01,Sunday,1.0,Mar,Independence Day,March 1,1992.0,Socialist Federal Republic of Yugoslavia,1992 Bosnian independence referendum,1992.0,"March 1, 1992",43.9159,17.6791
Botswana,1966-09-30,Friday,30.0,Sep,Independence Day,September 30,1966.0,United Kingdom,Effective date of the Botswana Independence Act 1966[19],1966.0,"September 30, 1966",-22.3285,24.6849
Brazil,1822-09-07,Saturday,7.0,Sep,Independence Day (Dia da Independência),September 7,1822.0,"United Kingdom of Portugal, Brazil and the Algarves",Declaration of independence by Pedro I of Brazil (see Independence of Brazil)[20],1822.0,"September 7, 1822",-14.235,-51.9253
Brunei,1984-02-23,Thursday,23.0,Feb,National Day,February 23,1984.0,United Kingdom,"Brunei gained full independence effective January 1, 1984 under the Treaty of Friendship and Co-operation of 7 January 1979 between United Kingdom and Brunei.[21] However, the celebrations of the first National Day were delayed until February 23 and that day continues to be celebrated since.[22]",1984.0,"February 23, 1984",4.5353,114.7277
Bulgaria,1878-03-03,Sunday,3.0,Mar,Liberation Day,March 3,1878.0,Ottoman Empire,Treaty of San Stefano which created the autonomous Principality of Bulgaria[23],1878.0,"March 3, 1878",42.7339,25.4858
Burkina Faso,1958-12-11,Thursday,11.0,Dec,Proclamation of Independence Day,December 11,1958.0,France,Effective date when French Upper Volta became an autonomous republic in the French Community,1958.0,"December 11, 1958",12.2383,-1.5616
Burundi,1962-07-01,Sunday,1.0,Jul,Independence Day,July 1,1962.0,Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27],1962.0,"July 1, 1962",-3.3731,29.9189
Cambodia,1953-11-09,Monday,9.0,Nov,Independence Day,November 9,1953.0,France,"Ceremony transferring military from French to Cambodian officials based on a military hand-over agreement reached on October 17, 1953[28][29]",1953.0,"November 9, 1953",12.5657,104.991
Cape Verde,1975-07-05,Saturday,5.0,Jul,Independence Day,July 5,1975.0,Portugal,"Effective date of the Agreement Between Portugal and Partido Africano para a Independência da Guiné e Cabo Verde (PAIGC) signed on December 18, 1974[32]",1975.0,"July 5, 1975",16.5388,-23.0418
Central African Republic,1958-12-01,Monday,1.0,Dec,National Day,December 1,1958.0,France,Effective date when Central African Republic became an autonomous republic of the French Community[33],1958.0,"December 1, 1958",6.6111,20.9394
Chad,1960-08-11,Thursday,11.0,Aug,Independence Day,August 11,1960.0,France,Effective date of the agreement with France signed on July 12[18],1960.0,"August 11, 1960",15.4542,18.7322
Chile,1810-09-18,Tuesday,18.0,Sep,Independence Day (part of Fiestas Patrias),September 18,1810.0,Spanish Empire,"Establishment of the Government Junta of Chile.[37] The following day, September 19, is celebrated as the Army Day.[38] The two holidays collectively are known as Fiestas Patrias.[39]",1810.0,"September 18, 1810",-35.6751,-71.543
Colombia,1810-07-20,Friday,20.0,Jul,Independence Day,July 20,1810.0,Spanish Empire,Colombian Declaration of Independence,1810.0,"July 20, 1810",4.5709,-74.2973
Comoros,1975-07-06,Sunday,6.0,Jul,Independence Day,July 6,1975.0,France,Unilateral declaration of independence by the Chamber of Deputies of Comoros following the 1974 Comorian independence referendum[41],1975.0,"July 6, 1975",-11.6455,43.3333
"Congo, Democratic Republic of the",1960-06-30,Thursday,30.0,Jun,Independence Day,June 30,1960.0,Belgium,"Effective date of the Treaty of Friendship, Assistance and Co-operation between Belgium and the Congo concluded on June 29, 1960[42]",1960.0,"June 30, 1960",,
"Congo, Republic of the",1960-08-15,Monday,15.0,Aug,Independence Day,August 15,1960.0,France,Effective date of the agreement with France signed on July 12.[18],1960.0,"August 15, 1960",-0.228,15.8277
Costa Rica,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",9.7489,-83.7534
Cyprus,1960-10-01,Saturday,1.0,Oct,Independence Day,October 1,1960.0,United Kingdom,"Effective date of the London-Zürich Agreements was August 16, 1960, but the public holiday was moved to October 1 to avoid summer heat and tourist season.[50]",1960.0,"October 1, 1960",35.1264,33.4299
Czech Republic,1918-10-28,Monday,28.0,Oct,Independence Day,October 28,1918.0,Austria-Hungary,Independence declaration by the Czechoslovak National Council[51],1918.0,"October 28, 1918",49.8175,15.473
Ecuador,1809-08-10,Thursday,10.0,Aug,Independence Day,August 10,1809.0,Spanish Empire,"Proclaimed independence on August 10, 1809, but failed with the execution of all the conspirators of the movement on August 2, 1810.",1809.0,"August 10, 1809",-1.8312,-78.1834
El Salvador,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",13.7942,-88.8965
Estonia,1918-02-24,Sunday,24.0,Feb,Independence Day,February 24,1918.0,Russian Soviet Federative Socialist Republic,Estonian Declaration of Independence,1918.0,"February 24, 1918",58.5953,25.0136
Estonia,1991-08-20,Tuesday,20.0,Aug,Day of Restoration of Independence[55],August 20,1991.0,Soviet Union[55],Estonian Restoration of Independence,1991.0,"August 20, 1991",58.5953,25.0136
Eswatini,1968-09-06,Friday,6.0,Sep,Somhlolo Day,September 6,1968.0,United Kingdom,"Named for Ngwane IV, Somhlolo, who reigned from 1815 to 1836 and created a kingdom comparable to the Zulu, the Maroti, or the Pedi.",1968.0,"September 6, 1968",-26.5225,31.4659
Fiji,1970-10-10,Saturday,10.0,Oct,Fiji Day,October 10,1970.0,United Kingdom,Instruments of Independence,1970.0,"October 10, 1970",-17.7134,178.065
Finland,1917-12-06,Thursday,6.0,Dec,Independence Day,December 6,1917.0,Russian Soviet Federative Socialist Republic,Finnish Declaration of Independence,1917.0,"December 6, 1917",61.9241,25.7482
Georgia,1918-05-26,Sunday,26.0,May,Independence Day,May 26,1918.0,Russian Soviet Federative Socialist Republic,Day of the proclamation of the Democratic Republic of Georgia in 1918.,1918.0,"May 26, 1918",42.3154,43.3569
Guatemala,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",15.7835,-90.2308
Guinea-Bissau,1973-09-24,Monday,24.0,Sep,Independence Day,September 24,1973.0,Portugal,Declaration of independence during the Guinea-Bissau War of Independence[56],1973.0,"September 24, 1973",11.8037,-15.1804
Haiti,1804-01-01,Sunday,1.0,Jan,Independence Day,January 1,1804.0,France,Haitian Declaration of Independence,1804.0,"January 1, 1804",18.9712,-72.2852
Honduras,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",15.199,-86.2419
Iceland,1944-06-17,Saturday,17.0,Jun,Independence Day,June 17,1944.0,Denmark,Effective date of the dissolution of the Danish–Icelandic Act of Union following the 1944 Icelandic constitutional referendum[59],1944.0,"June 17, 1944",64.9631,-19.0208
India,1947-08-15,Friday,15.0,Aug,Independence Day,August 15,1947.0,United Kingdom,Effective date of the Indian Independence Act 1947,1947.0,"August 15, 1947",20.5937,78.9629
Indonesia,1945-08-17,Friday,17.0,Aug,Independence Day (Hari Kemerdekaan),August 17,1945.0,Netherlands and Japan,Proclamation of Indonesian Independence,1945.0,"August 17, 1945",-0.7893,113.9213
Israel,1948-05-14,Friday,14.0,May,Yom Ha'atzmaut,May 14,1948.0,United Kingdom and the British Mandate for Palestine,"Israeli Declaration of Independence on May 14, 1948 (5 Iyar 5708 in the Hebrew calendar). Yom Ha'atzmaut is celebrated on the Tuesday, Wednesday or Thursday nearest to 5 Iyar, so it occurs between 3 and 6 Iyar each year; this means that the holiday can fall any time between and including April 15 and May 15, according to the Gregorian calendar.",1948.0,"May 14, 1948",31.0461,34.8516
Jordan,1946-05-25,Saturday,25.0,May,Independence Day,May 25,1946.0,United Kingdom,Ascension of Abdullah I of Jordan to the throne[59],1946.0,"May 25, 1946",30.5852,36.2384
North Korea,1945-08-15,Wednesday,15.0,Aug,Chogukhaebangŭi nal,August 15,1945.0,Empire of Japan,Founding of the Democratic People's Republic of Korea in 1948. Korean War 1950–1953.,1945.0,"August 15, 1945",40.3399,127.5101
South Korea,1919-03-01,Saturday,1.0,Mar,Samiljeol,March 1,1919.0,Empire of Japan,"Korean Declaration of Independence in 1919. This day is celebrated as Samiljeol, or Independence Proclamation Day.",1919.0,"March 1, 1919",35.9078,127.7669
South Korea,1945-08-15,Wednesday,15.0,Aug,Gwangbokjeol,August 15,1945.0,Empire of Japan,Liberation from the Empire of Japan in 1945. See Japanese Occupation of Korea. The Provisional Government of the Republic of Korea was founded in 1919. Korean War 1950–1953.,1945.0,"August 15, 1945",35.9078,127.7669
Latvia,1918-11-18,Monday,18.0,Nov,Proclamation Day of the Republic of Latvia,November 18,1918.0,Russian Soviet Federative Socialist Republic and German Empire,"Proclamation of independence on November 18, 1918. Latvia was part of Russian Empire prior to World War I, but its territory had been ceded to German Empire in March 1918",1918.0,"November 18, 1918",56.8796,24.6032
Liberia,1847-07-26,Monday,26.0,Jul,Independence Day,July 26,1847.0,American Colonization Society,Liberian Declaration of Independence,1847.0,"July 26, 1847",6.4281,-9.4295
Lithuania,1918-02-16,Saturday,16.0,Feb,Statehood Restoration Day,February 16,1918.0,Russian Soviet Federative Socialist Republic and German Empire,Act of Independence of Lithuania,1918.0,"February 16, 1918",55.1694,23.8813
Lithuania,1990-03-11,Sunday,11.0,Mar,Independence Restoration Day,March 11,1990.0,Soviet Union,Act of the Re-Establishment of the State of Lithuania,1990.0,"March 11, 1990",55.1694,23.8813
Malaysia,1957-08-31,Saturday,31.0,Aug,Hari Merdeka,August 31,1957.0,United Kingdom,Malayan Declaration of Independence,1957.0,"August 31, 1957",4.2105,101.9758
Mexico,1810-09-16,Sunday,16.0,Sep,Grito de DoloresDía de la Independéncia,September 16,1810.0,Spanish Empire,Start of the Mexican War of Independence,1810.0,"September 16, 1810",23.6345,-102.5528
Micronesia,1986-11-03,Monday,3.0,Nov,Independence Day,November 3,1986.0,United States,Effective date of the Compact of Free Association,1986.0,"November 3, 1986",7.4256,150.5508
Moldova,1991-08-27,Tuesday,27.0,Aug,Independence Day,August 27,1991.0,Soviet Union,Moldovan Declaration of Independence,1991.0,"August 27, 1991",47.4116,28.3699
Mongolia,1911-12-29,Friday,29.0,Dec,Independence Day,December 29,1911.0,Qing China[65][66],"Independence declared in 1911 during the Xinhai Revolution. However, Mongolian independence was neither recognized by Qing China nor its successor state, the Republic of China. The Imperial Edict of the Abdication of the Qing Emperor issued in 1912 provided the legal basis for the Republic of China to inherit all Qing territories, including Mongolia.[67][68][69] The Republic of China later established de facto control over Mongolia in 1919. Mongolia subsequently re-asserted its independence in 1921.",1911.0,"December 29, 1911",46.8625,103.8467
Morocco,1955-11-18,Friday,18.0,Nov,Independence Day,November 18,1955.0,France and Spain,Return of Mohammed V of Morocco from exile,1955.0,"November 18, 1955",31.7917,-7.0926
Mozambique,1975-06-25,Wednesday,25.0,Jun,Independence DayDia da Independência Nacional,June 25,1975.0,Portugal,"In September 1964 the Mozambique Liberation Front (FRELIMO) began an armed guerilla campaign against the Portuguese. FRELIMO took control of Maputo in April 1974 in a coup. Independence for Mozambique was officially declared a year later on June 25, 1975.[70]",1975.0,"June 25, 1975",-18.6657,35.5296
Myanmar,1948-01-04,Sunday,4.0,Jan,Independence Day,January 4,1948.0,United Kingdom,Burmese Declaration of Independence,1948.0,"January 4, 1948",21.9162,95.956
Nicaragua,1821-09-15,Saturday,15.0,Sep,Independence Day,September 15,1821.0,Spanish Empire,Act of Independence of Central America[citation needed],1821.0,"September 15, 1821",12.8654,-85.2072
Niger,1960-08-03,Wednesday,3.0,Aug,Independence Day,August 3,1960.0,France,Effective date of the agreement with France signed on July 11.[18],1960.0,"August 3, 1960",17.6078,8.0817
Norway,1814-05-17,Tuesday,17.0,May,Constitution Day,May 17,1814.0,Denmark,"National Day: Independence and the Constitution of Norway (May 17, 1814)",1814.0,"May 17, 1814",60.472,8.4689
Norway,1905-06-07,Wednesday,7.0,Jun,Independence Day,June 7,1905.0,Sweden,"Union Dissolution and Independence Day (June 7, 1905)",1905.0,"June 7, 1905",60.472,8.4689
Pakistan,1947-08-14,Thursday,14.0,Aug,Independence Day (Youm-e-Azadi),August 14,1947.0,United Kingdom,Effective date of the Indian Independence Act 1947;[71] see also: Pakistan Day (March 23),1947.0,"August 14, 1947",30.3753,69.3451
Palestine,1988-11-15,Tuesday,15.0,Nov,National Day,November 15,1988.0,Israel,Palestinian Declaration of Independence,1988.0,"November 15, 1988",31.9522,35.2332
Philippines,1898-06-12,Sunday,12.0,Jun,Independence Day (Araw ng Kalayaan or Araw ng Kasarinlan),June 12,1898.0,Spanish Empire,"Philippine Declaration of Independence by Emilio Aguinaldo during the Philippine Revolution against Spain. The Philippines achieved self-rule from the United States on July 4, 1946, and celebrated July 4 as Independence Day until 1964.[75]",1898.0,"June 12, 1898",12.8797,121.774
Poland,1918-11-11,Monday,11.0,Nov,Independence Day (Święto Niepodległości),November 11,1918.0,Russian Soviet Federative Socialist Republic and German Empire,"Restoration of Poland's independence in 1918 after 123 years of partitions by Russia, Prussia, and Austria.",1918.0,"November 11, 1918",51.9194,19.1451
Portugal,1640-12-01,Saturday,1.0,,Restoration of Independence Day,December 1,1640.0,Spanish Empire,"Portugal was officially an autonomous state, but the country was in a personal union with the Spanish crown from 1580 to 1640 – date of the restoration of full Portuguese autonomy from Iberian Union with Spain.[76]",1640.0,"December 1, 1640",39.3999,-8.2245
Qatar,1971-12-18,Saturday,18.0,Dec,Independence from Britain,December 18,1971.0,United Kingdom,The former is celebrated more often,1971.0,"December 18, 1971",25.3548,51.1839
Romania,1877-05-09,Wednesday,9.0,May,State Independence Day of Romania(Ziua Independenței de Stat a României),May 9,1877.0,Ottoman Empire,"Romania's declaration of its independence and subsequent victory in the Romanian War of Independence, part of the Russo-Turkish War of 1877–1878, against the Ottoman Empire.[77]",1877.0,"May 9, 1877",45.9432,24.9668
Rwanda,1962-07-01,Sunday,1.0,Jul,Independence Day,July 1,1962.0,Belgium,Effective date of the United Nations General Assembly Resolution 1746 terminating the Ruanda-Urundi Trusteeship[26][27],1962.0,"July 1, 1962",-1.9403,29.8739
São Tomé and Príncipe,1975-07-12,Saturday,12.0,Jul,Independence Day,July 12,1975.0,Portugal,"Effective date of the agreement with Portugal reached on November 26, 1974[78][79]",1975.0,"July 12, 1975",0.1864,6.6131
Singapore,1965-08-09,Monday,9.0,Aug,National Day,August 9,1965.0,Malaysia,Proclamation of Singapore,1965.0,"August 9, 1965",1.3521,103.8198
Slovenia,1991-06-25,Tuesday,25.0,Jun,Independence and Unity Day,June 25,1991.0,SFR Yugoslavia,"Date of the release of the official results of the independence plebiscite in 1990, confirming secession from Yugoslavia. (Statehood Day) Declared independence from Yugoslavia in 1991.",1991.0,"June 25, 1991",46.1512,14.9955
Somalia,1960-07-01,Friday,1.0,Jul,Independence Day,July 1,1960.0,Italy and United Kingdom,Union of the Trust Territory of Somalia (former Italian Somaliland) and British Somaliland to form the Somali Republic. Event commemorated annually.,1960.0,"July 1, 1960",5.1521,46.1996
South Africa,1931-12-11,Friday,11.0,Dec,Not a holiday,December 11,1931.0,United Kingdom,"Independence in 1931 in terms of the Balfour Declaration of 1926 which is not a public holiday. The Union of South Africa formed on May 31, 1910 and the Republic of South Africa declared on May 31, 1961 under minority rule during Apartheid.  Majority rule achieved on April 27, 1994, which is celebrated annually as the Freedom Day.",1931.0,"December 11, 1931",-30.5595,22.9375
Syria,1946-04-17,Wednesday,17.0,Apr,Evacuation Day,April 17,1946.0,France,End of the French Mandate of Syria in 1946.,1946.0,"April 17, 1946",34.8021,38.9968
Trinidad and Tobago,1962-08-31,Friday,31.0,Aug,Independence Day,August 31,1962.0,United Kingdom,Effective date of the Trinidad and Tobago Independence Act 1962,1962.0,"August 31, 1962",10.6918,-61.2225
Ukraine,1991-08-24,Saturday,24.0,Aug,Independence Day,August 24,1991.0,Soviet Union,Declaration of Independence of Ukraine,1991.0,"August 24, 1991",48.3794,31.1656
Ukraine,1919-01-22,Wednesday,22.0,Jan,Day of Unity,January 22,1919.0,Russian Soviet Federative Socialist Republic,"Unification of Ukraine on January 22, 1919.[81]",1919.0,"January 22, 1919",48.3794,31.1656
United States,1776-07-04,Thursday,4.0,Jul,Independence Day or Fourth of July,July 4,1776.0,Kingdom of Great Britain,United States Declaration of Independence,1776.0,"July 4, 1776",37.0902,-95.7129
Uruguay,1825-08-25,Thursday,25.0,Aug,Independence Day,August 25,1825.0,United Provinces of the Rio de la Plata,Declaration of independence and union with the United Provinces of the Rio de la Plata.,1825.0,"August 25, 1825",-32.5228,-55.7658
Venezuela,1811-07-05,Friday,5.0,Jul,Independence Day,July 5,1811.0,Spanish Empire,Venezuelan Declaration of Independence,1811.0,"July 5, 1811",6.4238,-66.5897
Vietnam,1945-09-02,Sunday,2.0,Sep,Independence Day,September 2,1945.0,Empire of Japan and France,Proclamation of Independence of the Democratic Republic of Vietnam,1945.0,"September 2, 1945",14.0583,108.2772
Zambia,1964-10-24,Saturday,24.0,Oct,Independence Day,October 24,1964.0,United Kingdom,Effective date of the Zambia Independence Act 1964,1964.0,"October 24, 1964",-13.1339,27.8493
Zimbabwe,1980-04-18,Friday,18.0,Apr,Independence Day,April 18,1980.0,United Kingdom,Effective date of the Lancaster House Agreement,1980.0,"April 18, 1980",-19.0154,29.1549
